LotID,DateTime,Type,Value
Model003_LOT011,2025-01-26 11:55:46,thickness,3.724
Model003_LOT011,2025-01-26 11:55:46,temperature,75.2
Model003_LOT011,2025-01-26 11:55:46,humidity,65.1
Model003_LOT012,2024-09-18 08:58:46,thickness,8.673
Model003_LOT012,2024-09-18 08:58:46,temperature,30.4
Model003_LOT012,2024-09-18 08:58:46,humidity,86.9
Model003_LOT013,2024-09-25 17:23:46,thickness,5.638
Model003_LOT013,2024-09-25 17:23:46,temperature,80.4
Model003_LOT013,2024-09-25 17:23:46,humidity,51.0
Model003_LOT014,2025-08-13 22:36:46,thickness,1.785
Model003_LOT014,2025-08-13 22:36:46,temperature,66.5
Model003_LOT014,2025-08-13 22:36:46,humidity,65.3
Model003_LOT015,2025-05-12 07:29:46,thickness,1.863
Model003_LOT015,2025-05-12 07:29:46,temperature,33.4
Model003_LOT015,2025-05-12 07:29:46,humidity,28.9
Model003_LOT016,2024-12-28 01:55:46,thickness,3.931
Model003_LOT016,2024-12-28 01:55:46,temperature,41.3
Model003_LOT016,2024-12-28 01:55:46,humidity,57.5
Model004_LOT001,2024-11-21 23:19:46,thickness,8.22
Model004_LOT001,2024-11-21 23:19:46,temperature,49.7
Model004_LOT001,2024-11-21 23:19:46,humidity,61.3
Model004_LOT002,2025-01-27 22:32:46,thickness,3.818
Model004_LOT002,2025-01-27 22:32:46,temperature,34.0
Model004_LOT002,2025-01-27 22:32:46,humidity,69.1
Model004_LOT003,2024-11-24 13:44:46,thickness,9.555
Model004_LOT003,2024-11-24 13:44:46,temperature,15.8
Model004_LOT003,2024-11-24 13:44:46,humidity,25.3
Model004_LOT004,2025-01-06 16:46:46,thickness,3.847
Model004_LOT004,2025-01-06 16:46:46,temperature,37.8
Model004_LOT004,2025-01-06 16:46:46,humidity,78.1
Model004_LOT005,2025-04-05 19:14:46,thickness,0.689
Model004_LOT005,2025-04-05 19:14:46,temperature,38.8
Model004_LOT005,2025-04-05 19:14:46,humidity,92.1
Model004_LOT006,2025-03-28 18:35:46,thickness,3.529
Model004_LOT006,2025-03-28 18:35:46,temperature,82.5
Model004_LOT006,2025-03-28 18:35:46,humidity,78.9
Model004_LOT007,2025-06-15 17:14:46,thickness,5.098
Model004_LOT007,2025-06-15 17:14:46,temperature,18.3
Model004_LOT007,2025-06-15 17:14:46,humidity,75.6
Model004_LOT008,2025-01-26 03:40:46,thickness,0.53
Model004_LOT008,2025-01-26 03:40:46,temperature,74.3
Model004_LOT008,2025-01-26 03:40:46,humidity,42.5
Model004_LOT009,2025-04-07 13:01:46,thickness,2.844
Model004_LOT009,2025-04-07 13:01:46,temperature,62.4
Model004_LOT009,2025-04-07 13:01:46,humidity,87.6
Model004_LOT010,2025-07-28 08:59:46,thickness,4.497
Model004_LOT010,2025-07-28 08:59:46,temperature,32.8
Model004_LOT010,2025-07-28 08:59:46,humidity,25.8
Model004_LOT011,2024-10-31 13:42:46,thickness,3.851
Model004_LOT011,2024-10-31 13:42:46,temperature,46.9
Model004_LOT011,2024-10-31 13:42:46,humidity,67.6
Model004_LOT012,2025-01-24 13:50:46,thickness,9.634
Model004_LOT012,2025-01-24 13:50:46,temperature,66.5
Model004_LOT012,2025-01-24 13:50:46,humidity,32.4
Model004_LOT013,2024-12-11 17:47:46,thickness,3.648
Model004_LOT013,2024-12-11 17:47:46,temperature,65.4
Model004_LOT013,2024-12-11 17:47:46,humidity,78.2
Model004_LOT014,2024-09-09 21:50:46,thickness,6.548
Model004_LOT014,2024-09-09 21:50:46,temperature,39.1
Model004_LOT014,2024-09-09 21:50:46,humidity,56.1
Model004_LOT015,2025-04-28 08:34:46,thickness,5.619
Model004_LOT015,2025-04-28 08:34:46,temperature,40.3
Model004_LOT015,2025-04-28 08:34:46,humidity,49.8
Model004_LOT016,2024-10-12 00:24:46,thickness,8.616
Model004_LOT016,2024-10-12 00:24:46,temperature,52.3
Model004_LOT016,2024-10-12 00:24:46,humidity,85.0
Model004_LOT017,2025-02-15 16:42:46,thickness,3.521
Model004_LOT017,2025-02-15 16:42:46,temperature,34.3
Model004_LOT017,2025-02-15 16:42:46,humidity,36.2
Model004_LOT018,2025-07-17 06:16:46,thickness,2.29
Model004_LOT018,2025-07-17 06:16:46,temperature,82.0
Model004_LOT018,2025-07-17 06:16:46,humidity,61.1
Model005_LOT001,2024-12-08 07:37:46,thickness,1.407
Model005_LOT001,2024-12-08 07:37:46,temperature,26.9
Model005_LOT001,2024-12-08 07:37:46,humidity,22.7
Model005_LOT002,2024-11-08 09:14:46,thickness,4.196
Model005_LOT002,2024-11-08 09:14:46,temperature,49.0
Model005_LOT002,2024-11-08 09:14:46,humidity,23.3
Model005_LOT003,2025-08-22 08:16:46,thickness,7.02
Model005_LOT003,2025-08-22 08:16:46,temperature,48.2
Model005_LOT003,2025-08-22 08:16:46,humidity,57.6
Model005_LOT004,2025-08-01 16:44:46,thickness,0.587
Model005_LOT004,2025-08-01 16:44:46,temperature,51.4
Model005_LOT004,2025-08-01 16:44:46,humidity,84.0
Model005_LOT005,2024-12-07 02:39:46,thickness,1.886
Model005_LOT005,2024-12-07 02:39:46,temperature,78.7
Model005_LOT005,2024-12-07 02:39:46,humidity,43.6
Model006_LOT001,2025-04-05 03:59:46,thickness,5.535
Model006_LOT001,2025-04-05 03:59:46,temperature,58.0
Model006_LOT001,2025-04-05 03:59:46,humidity,58.3
Model006_LOT002,2024-10-17 17:26:46,thickness,1.648
Model006_LOT002,2024-10-17 17:26:46,temperature,31.8
Model006_LOT002,2024-10-17 17:26:46,humidity,38.8
Model006_LOT003,2025-07-05 02:14:46,thickness,8.086
Model006_LOT003,2025-07-05 02:14:46,temperature,57.4
Model006_LOT003,2025-07-05 02:14:46,humidity,26.8
Model006_LOT004,2025-02-24 00:23:46,thickness,9.392
Model006_LOT004,2025-02-24 00:23:46,temperature,45.4
Model006_LOT004,2025-02-24 00:23:46,humidity,72.4
Model006_LOT005,2025-02-18 00:00:46,thickness,5.484
Model006_LOT005,2025-02-18 00:00:46,temperature,64.8
Model006_LOT005,2025-02-18 00:00:46,humidity,52.9
Model006_LOT006,2025-01-22 16:13:46,thickness,2.131
Model006_LOT006,2025-01-22 16:13:46,temperature,41.5
Model006_LOT006,2025-01-22 16:13:46,humidity,52.6
Model006_LOT007,2025-01-31 16:34:46,thickness,0.586
Model006_LOT007,2025-01-31 16:34:46,temperature,43.3
Model006_LOT007,2025-01-31 16:34:46,humidity,24.7
Model006_LOT008,2025-01-03 18:50:46,thickness,0.805
Model006_LOT008,2025-01-03 18:50:46,temperature,83.7
Model006_LOT008,2025-01-03 18:50:46,humidity,80.4
Model006_LOT009,2024-09-02 11:36:46,thickness,6.711
Model006_LOT009,2024-09-02 11:36:46,temperature,70.8
Model006_LOT009,2024-09-02 11:36:46,humidity,35.3
Model006_LOT010,2024-09-23 19:57:46,thickness,7.706
Model006_LOT010,2024-09-23 19:57:46,temperature,25.8
Model006_LOT010,2024-09-23 19:57:46,humidity,80.1
Model006_LOT011,2024-08-31 01:30:46,thickness,0.608
Model006_LOT011,2024-08-31 01:30:46,temperature,65.1
Model006_LOT011,2024-08-31 01:30:46,humidity,50.2
Model007_LOT001,2025-03-11 11:05:46,thickness,7.438
Model007_LOT001,2025-03-11 11:05:46,temperature,72.6
Model007_LOT001,2025-03-11 11:05:46,humidity,85.6
Model007_LOT002,2025-01-15 17:05:46,thickness,9.636
Model007_LOT002,2025-01-15 17:05:46,temperature,73.9
Model007_LOT002,2025-01-15 17:05:46,humidity,91.5
Model007_LOT003,2024-11-27 14:06:46,thickness,5.3
Model007_LOT003,2024-11-27 14:06:46,temperature,62.2
Model007_LOT003,2024-11-27 14:06:46,humidity,67.2
Model007_LOT004,2024-10-04 09:55:46,thickness,9.109
Model007_LOT004,2024-10-04 09:55:46,temperature,42.0
Model007_LOT004,2024-10-04 09:55:46,humidity,40.5
Model007_LOT005,2025-06-07 19:12:46,thickness,7.258
Model007_LOT005,2025-06-07 19:12:46,temperature,42.9
Model007_LOT005,2025-06-07 19:12:46,humidity,71.3
Model007_LOT006,2025-04-23 07:07:46,thickness,5.853
Model007_LOT006,2025-04-23 07:07:46,temperature,79.9
Model007_LOT006,2025-04-23 07:07:46,humidity,71.2
Model007_LOT007,2024-10-28 17:37:46,thickness,1.161
Model007_LOT007,2024-10-28 17:37:46,temperature,33.4
Model007_LOT007,2024-10-28 17:37:46,humidity,25.6
Model007_LOT008,2025-06-18 07:01:46,thickness,9.444
Model007_LOT008,2025-06-18 07:01:46,temperature,76.6
Model007_LOT008,2025-06-18 07:01:46,humidity,46.4
Model007_LOT009,2025-03-21 16:05:46,thickness,0.318
Model007_LOT009,2025-03-21 16:05:46,temperature,81.1
Model007_LOT009,2025-03-21 16:05:46,humidity,91.7
Model007_LOT010,2025-04-26 10:20:46,thickness,7.476
Model007_LOT010,2025-04-26 10:20:46,temperature,52.3
Model007_LOT010,2025-04-26 10:20:46,humidity,73.8
Model007_LOT011,2025-04-21 02:16:46,thickness,0.537
Model007_LOT011,2025-04-21 02:16:46,temperature,50.2
Model007_LOT011,2025-04-21 02:16:46,humidity,68.0
Model007_LOT012,2025-06-04 19:28:46,thickness,6.643
Model007_LOT012,2025-06-04 19:28:46,temperature,65.0
Model007_LOT012,2025-06-04 19:28:46,humidity,49.5
Model007_LOT013,2025-06-27 03:57:46,thickness,4.837
Model007_LOT013,2025-06-27 03:57:46,temperature,27.2
Model007_LOT013,2025-06-27 03:57:46,humidity,29.7
Model007_LOT014,2024-12-21 10:49:46,thickness,0.746
Model007_LOT014,2024-12-21 10:49:46,temperature,16.9
Model007_LOT014,2024-12-21 10:49:46,humidity,29.2
Model007_LOT015,2025-04-11 00:05:46,thickness,1.194
Model007_LOT015,2025-04-11 00:05:46,temperature,84.4
Model007_LOT015,2025-04-11 00:05:46,humidity,42.4
Model007_LOT016,2024-12-05 14:03:46,thickness,8.101
Model007_LOT016,2024-12-05 14:03:46,temperature,70.4
Model007_LOT016,2024-12-05 14:03:46,humidity,75.2
Model007_LOT017,2025-03-20 15:55:46,thickness,0.36
Model007_LOT017,2025-03-20 15:55:46,temperature,49.1
Model007_LOT017,2025-03-20 15:55:46,humidity,55.9
Model007_LOT018,2025-01-30 08:12:46,thickness,8.454
Model007_LOT018,2025-01-30 08:12:46,temperature,42.4
Model007_LOT018,2025-01-30 08:12:46,humidity,92.5
Model007_LOT019,2025-02-21 11:57:46,thickness,8.279
Model007_LOT019,2025-02-21 11:57:46,temperature,77.6
Model007_LOT019,2025-02-21 11:57:46,humidity,72.0
Model008_LOT001,2025-01-24 06:10:46,thickness,3.242
Model008_LOT001,2025-01-24 06:10:46,temperature,45.5
Model008_LOT001,2025-01-24 06:10:46,humidity,29.8
Model008_LOT002,2024-09-09 22:03:46,thickness,1.203
Model008_LOT002,2024-09-09 22:03:46,temperature,50.7
Model008_LOT002,2024-09-09 22:03:46,humidity,40.0
Model008_LOT003,2024-12-01 00:51:46,thickness,2.69
Model008_LOT003,2024-12-01 00:51:46,temperature,44.7
Model008_LOT003,2024-12-01 00:51:46,humidity,23.8
Model008_LOT004,2024-11-22 19:43:46,thickness,5.868
Model008_LOT004,2024-11-22 19:43:46,temperature,59.3
Model008_LOT004,2024-11-22 19:43:46,humidity,52.7
Model008_LOT005,2024-11-08 12:58:46,thickness,8.955
Model008_LOT005,2024-11-08 12:58:46,temperature,57.0
Model008_LOT005,2024-11-08 12:58:46,humidity,27.9
Model008_LOT006,2025-08-23 20:45:46,thickness,7.958
Model008_LOT006,2025-08-23 20:45:46,temperature,37.3
Model008_LOT006,2025-08-23 20:45:46,humidity,62.0
Model008_LOT007,2024-10-06 22:56:46,thickness,2.412
Model008_LOT007,2024-10-06 22:56:46,temperature,75.0
Model008_LOT007,2024-10-06 22:56:46,humidity,61.1
Model008_LOT008,2024-10-23 09:27:46,thickness,2.881
Model008_LOT008,2024-10-23 09:27:46,temperature,78.9
Model008_LOT008,2024-10-23 09:27:46,humidity,54.1
Model008_LOT009,2025-06-02 05:49:46,thickness,3.921
Model008_LOT009,2025-06-02 05:49:46,temperature,71.1
Model008_LOT009,2025-06-02 05:49:46,humidity,71.9
Model008_LOT010,2025-02-11 05:37:46,thickness,5.123
Model008_LOT010,2025-02-11 05:37:46,temperature,35.9
Model008_LOT010,2025-02-11 05:37:46,humidity,81.6
Model008_LOT011,2024-11-02 00:26:46,thickness,2.008
Model008_LOT011,2024-11-02 00:26:46,temperature,41.1
Model008_LOT011,2024-11-02 00:26:46,humidity,79.8
Model008_LOT012,2025-07-08 06:08:46,thickness,3.292
Model008_LOT012,2025-07-08 06:08:46,temperature,27.8
Model008_LOT012,2025-07-08 06:08:46,humidity,84.7
Model008_LOT013,2025-05-10 00:10:46,thickness,6.595
Model008_LOT013,2025-05-10 00:10:46,temperature,36.4
Model008_LOT013,2025-05-10 00:10:46,humidity,67.7
Model008_LOT014,2025-07-02 04:32:46,thickness,6.665
Model008_LOT014,2025-07-02 04:32:46,temperature,20.7
Model008_LOT014,2025-07-02 04:32:46,humidity,89.7
Model008_LOT015,2025-03-19 22:53:46,thickness,7.071
Model008_LOT015,2025-03-19 22:53:46,temperature,59.8
Model008_LOT015,2025-03-19 22:53:46,humidity,87.1
Model008_LOT016,2024-09-27 09:03:46,thickness,3.684
Model008_LOT016,2024-09-27 09:03:46,temperature,29.3
Model008_LOT016,2024-09-27 09:03:46,humidity,56.7
Model008_LOT017,2025-02-11 11:47:46,thickness,1.607
Model008_LOT017,2025-02-11 11:47:46,temperature,19.4
Model008_LOT017,2025-02-11 11:47:46,humidity,56.5
Model008_LOT018,2024-09-10 21:10:46,thickness,5.151
Model008_LOT018,2024-09-10 21:10:46,temperature,50.6
Model008_LOT018,2024-09-10 21:10:46,humidity,65.9
Model008_LOT019,2024-10-10 12:46:46,thickness,3.487
Model008_LOT019,2024-10-10 12:46:46,temperature,42.4
Model008_LOT019,2024-10-10 12:46:46,humidity,89.7
Model009_LOT001,2025-01-23 16:53:46,thickness,0.204
Model009_LOT001,2025-01-23 16:53:46,temperature,60.2
Model009_LOT001,2025-01-23 16:53:46,humidity,67.4
Model009_LOT002,2025-01-21 08:26:46,thickness,1.512
Model009_LOT002,2025-01-21 08:26:46,temperature,64.0
Model009_LOT002,2025-01-21 08:26:46,humidity,20.4
Model009_LOT003,2024-09-16 19:45:46,thickness,9.194
Model009_LOT003,2024-09-16 19:45:46,temperature,78.7
Model009_LOT003,2024-09-16 19:45:46,humidity,29.0
Model009_LOT004,2025-08-07 01:11:46,thickness,3.892
Model009_LOT004,2025-08-07 01:11:46,temperature,62.9
Model009_LOT004,2025-08-07 01:11:46,humidity,59.9
Model009_LOT005,2024-10-01 12:09:46,thickness,1.846
Model009_LOT005,2024-10-01 12:09:46,temperature,70.7
Model009_LOT005,2024-10-01 12:09:46,humidity,37.7
Model009_LOT006,2025-01-23 23:12:46,thickness,4.616
Model009_LOT006,2025-01-23 23:12:46,temperature,69.9
Model009_LOT006,2025-01-23 23:12:46,humidity,84.3
Model009_LOT007,2024-09-09 14:28:46,thickness,3.37
Model009_LOT007,2024-09-09 14:28:46,temperature,45.8
Model009_LOT007,2024-09-09 14:28:46,humidity,86.3
Model009_LOT008,2025-07-18 15:17:46,thickness,0.293
Model009_LOT008,2025-07-18 15:17:46,temperature,58.8
Model009_LOT008,2025-07-18 15:17:46,humidity,39.4
Model009_LOT009,2024-09-22 09:10:46,thickness,6.17
Model009_LOT009,2024-09-22 09:10:46,temperature,17.3
Model009_LOT009,2024-09-22 09:10:46,humidity,49.0
Model009_LOT010,2024-10-05 11:32:46,thickness,8.29
Model009_LOT010,2024-10-05 11:32:46,temperature,53.4
Model009_LOT010,2024-10-05 11:32:46,humidity,92.2
Model009_LOT011,2025-01-22 10:33:46,thickness,4.61
Model009_LOT011,2025-01-22 10:33:46,temperature,60.6
Model009_LOT011,2025-01-22 10:33:46,humidity,23.5
Model009_LOT012,2025-01-27 08:27:46,thickness,4.638
Model009_LOT012,2025-01-27 08:27:46,temperature,19.9
Model009_LOT012,2025-01-27 08:27:46,humidity,67.1
Model009_LOT013,2024-12-25 01:42:46,thickness,3.11
Model009_LOT013,2024-12-25 01:42:46,temperature,17.9
Model009_LOT013,2024-12-25 01:42:46,humidity,32.4
Model009_LOT014,2024-12-21 23:14:46,thickness,0.888
Model009_LOT014,2024-12-21 23:14:46,temperature,80.5
Model009_LOT014,2024-12-21 23:14:46,humidity,69.4
Model009_LOT015,2025-03-10 10:39:46,thickness,3.422
Model009_LOT015,2025-03-10 10:39:46,temperature,27.2
Model009_LOT015,2025-03-10 10:39:46,humidity,69.4
Model009_LOT016,2025-07-19 07:23:46,thickness,1.545
Model009_LOT016,2025-07-19 07:23:46,temperature,70.6
Model009_LOT016,2025-07-19 07:23:46,humidity,50.0
Model009_LOT017,2025-04-26 19:10:46,thickness,3.95
Model009_LOT017,2025-04-26 19:10:46,temperature,45.6
Model009_LOT017,2025-04-26 19:10:46,humidity,45.2
Model009_LOT018,2025-05-26 18:24:46,thickness,0.996
Model009_LOT018,2025-05-26 18:24:46,temperature,42.8
Model009_LOT018,2025-05-26 18:24:46,humidity,37.2
Model009_LOT019,2025-08-29 06:46:46,thickness,0.949
Model009_LOT019,2025-08-29 06:46:46,temperature,25.5
Model009_LOT019,2025-08-29 06:46:46,humidity,92.6
Model009_LOT020,2025-02-20 21:14:46,thickness,3.631
Model009_LOT020,2025-02-20 21:14:46,temperature,70.7
Model009_LOT020,2025-02-20 21:14:46,humidity,36.5
Model010_LOT001,2025-06-22 20:48:46,thickness,6.913
Model010_LOT001,2025-06-22 20:48:46,temperature,71.4
Model010_LOT001,2025-06-22 20:48:46,humidity,85.4
Model010_LOT002,2024-10-13 03:30:46,thickness,4.147
Model010_LOT002,2024-10-13 03:30:46,temperature,33.5
Model010_LOT002,2024-10-13 03:30:46,humidity,61.4
Model010_LOT003,2025-07-04 19:55:46,thickness,3.332
Model010_LOT003,2025-07-04 19:55:46,temperature,62.3
Model010_LOT003,2025-07-04 19:55:46,humidity,66.6
Model010_LOT004,2024-09-01 08:42:46,thickness,0.604
Model010_LOT004,2024-09-01 08:42:46,temperature,77.9
Model010_LOT004,2024-09-01 08:42:46,humidity,58.3
Model010_LOT005,2025-03-10 01:24:46,thickness,1.222
Model010_LOT005,2025-03-10 01:24:46,temperature,58.7
Model010_LOT005,2025-03-10 01:24:46,humidity,58.3
Model010_LOT006,2025-07-24 01:40:46,thickness,3.51
Model010_LOT006,2025-07-24 01:40:46,temperature,77.6
Model010_LOT006,2025-07-24 01:40:46,humidity,62.2
Model010_LOT007,2024-09-02 15:31:46,thickness,9.303
Model010_LOT007,2024-09-02 15:31:46,temperature,16.6
Model010_LOT007,2024-09-02 15:31:46,humidity,28.0
Model010_LOT008,2025-05-10 04:14:46,thickness,1.478
Model010_LOT008,2025-05-10 04:14:46,temperature,38.5
Model010_LOT008,2025-05-10 04:14:46,humidity,58.5
Model010_LOT009,2025-01-21 08:48:46,thickness,6.386
Model010_LOT009,2025-01-21 08:48:46,temperature,15.0
Model010_LOT009,2025-01-21 08:48:46,humidity,82.3
Model010_LOT010,2025-05-28 07:02:46,thickness,7.064
Model010_LOT010,2025-05-28 07:02:46,temperature,27.1
Model010_LOT010,2025-05-28 07:02:46,humidity,78.0
Model010_LOT011,2025-06-16 12:50:46,thickness,6.959
Model010_LOT011,2025-06-16 12:50:46,temperature,41.7
Model010_LOT011,2025-06-16 12:50:46,humidity,30.7
Model010_LOT012,2025-02-01 20:27:46,thickness,9.037
Model010_LOT012,2025-02-01 20:27:46,temperature,80.0
Model010_LOT012,2025-02-01 20:27:46,humidity,87.8
Model010_LOT013,2025-02-16 12:57:46,thickness,3.246
Model010_LOT013,2025-02-16 12:57:46,temperature,38.2
Model010_LOT013,2025-02-16 12:57:46,humidity,61.9
Model010_LOT014,2025-07-03 00:08:46,thickness,3.521
Model010_LOT014,2025-07-03 00:08:46,temperature,69.7
Model010_LOT014,2025-07-03 00:08:46,humidity,48.4
Model010_LOT015,2025-04-10 19:41:46,thickness,3.329
Model010_LOT015,2025-04-10 19:41:46,temperature,19.0
Model010_LOT015,2025-04-10 19:41:46,humidity,87.5
Model010_LOT016,2025-07-12 06:20:46,thickness,6.033
Model010_LOT016,2025-07-12 06:20:46,temperature,48.0
Model010_LOT016,2025-07-12 06:20:46,humidity,40.8
Model010_LOT017,2024-12-30 09:26:46,thickness,6.592
Model010_LOT017,2024-12-30 09:26:46,temperature,63.2
Model010_LOT017,2024-12-30 09:26:46,humidity,45.2
Model010_LOT018,2024-11-05 20:38:46,thickness,9.687
Model010_LOT018,2024-11-05 20:38:46,temperature,41.6
Model010_LOT018,2024-11-05 20:38:46,humidity,93.4
Model010_LOT019,2025-04-15 16:55:46,thickness,9.038
Model010_LOT019,2025-04-15 16:55:46,temperature,57.1
Model010_LOT019,2025-04-15 16:55:46,humidity,39.6
Model010_LOT020,2025-01-22 18:48:46,thickness,0.98
Model010_LOT020,2025-01-22 18:48:46,temperature,79.8
Model010_LOT020,2025-01-22 18:48:46,humidity,39.8
Model010_LOT021,2024-09-24 15:18:46,thickness,8.709
Model010_LOT021,2024-09-24 15:18:46,temperature,73.6
Model010_LOT021,2024-09-24 15:18:46,humidity,89.7
Model010_LOT022,2024-10-04 22:37:46,thickness,6.403
Model010_LOT022,2024-10-04 22:37:46,temperature,64.4
Model010_LOT022,2024-10-04 22:37:46,humidity,48.0
Model010_LOT023,2025-01-25 03:30:46,thickness,3.44
Model010_LOT023,2025-01-25 03:30:46,temperature,59.6
Model010_LOT023,2025-01-25 03:30:46,humidity,68.4
Model011_LOT001,2025-06-05 17:50:46,thickness,6.122
Model011_LOT001,2025-06-05 17:50:46,temperature,80.4
Model011_LOT001,2025-06-05 17:50:46,humidity,61.4
Model011_LOT002,2025-03-04 00:30:46,thickness,6.073
Model011_LOT002,2025-03-04 00:30:46,temperature,77.8
Model011_LOT002,2025-03-04 00:30:46,humidity,91.2
Model011_LOT003,2024-11-26 19:15:46,thickness,1.98
Model011_LOT003,2024-11-26 19:15:46,temperature,61.5
Model011_LOT003,2024-11-26 19:15:46,humidity,92.1
Model011_LOT004,2025-07-31 20:26:46,thickness,4.598
Model011_LOT004,2025-07-31 20:26:46,temperature,65.6
Model011_LOT004,2025-07-31 20:26:46,humidity,27.6
Model011_LOT005,2025-04-13 19:34:46,thickness,0.957
Model011_LOT005,2025-04-13 19:34:46,temperature,61.7
Model011_LOT005,2025-04-13 19:34:46,humidity,50.8
Model011_LOT006,2025-05-24 04:38:46,thickness,7.949
Model011_LOT006,2025-05-24 04:38:46,temperature,68.6
Model011_LOT006,2025-05-24 04:38:46,humidity,51.4
Model011_LOT007,2024-11-04 09:23:46,thickness,8.416
Model011_LOT007,2024-11-04 09:23:46,temperature,70.0
Model011_LOT007,2024-11-04 09:23:46,humidity,71.3
Model011_LOT008,2025-06-05 20:12:46,thickness,3.203
Model011_LOT008,2025-06-05 20:12:46,temperature,83.7
Model011_LOT008,2025-06-05 20:12:46,humidity,83.1
